date,tracking_code,campaignname,adgroup,keyword,Impressions,Clicks, cost 
2016-07-01,ps_msn_38360,B2C_BR_401K_Standard,Company X  401K Exact,company x 401 k,1.00,1,1.34
2016-07-01,ps_msn_38366,B2C_BR_401K_Standard,Company X  401K Broad Match Modify,+company +x 401k,6.00,1,1.03
2016-07-01,ps_msn_38444,B2C_BR_403B_Standard,Company X  403B Broad Match Modify,+company +x 403b,1.00,1,0.40
2016-07-01,ps_msn_38442,B2C_BR_403B_Standard,Company X  403B Exact,company x 403b,1.00,1,0.66
2016-07-01,ps_ggl_40615,B2C_BR_403B_Standard,Company X  403B Broad Match Modify,+company +x 403 b,34.00,1,0.82
2016-07-01,ps_msn_38515,B2C_BR_AMCAP Funds_Standard,Company X  AMCAP Exact,company x amcap,2.00,1,0.26
2016-07-01,ps_ggl_41080,B2C_BR_AMCAP Funds_Standard,Company X  AMCAP Broad Match Modify,+company +x amcap,12.00,1,1.26
2016-07-01,ps_ggl_40718,B2C_BR_Balanced Funds_Standard,Company X  Balanced Fund Exact,company x company balanced fund,1.00,1,0.08
2016-07-01,ps_msn_39665,B2C_BR_Balanced Funds_Standard,Company X  Balanced Fund Exact,company fund balanced fund,1.00,1,1.89
2016-07-01,ps_ggl_40856,B2C_BR_Balanced Funds_Standard,Company X  Balanced Fund Broad Match Modify,+company +x global balanced fund,2.00,1,1.12
2016-07-01,ps_msn_39668,B2C_BR_Balanced Funds_Standard,Company X  Balanced Fund Exact,company x balanced,6.00,1,0.05
2016-07-01,ps_ggl_41521,B2C_BR_Balanced Funds_Standard,Company X  Balanced Fund Exact,company x balanced,12.00,1,0.94
2016-07-01,ps_msn_39672,B2C_BR_Balanced Funds_Standard,Company X  Balanced Fund Broad Match Modify,+company +x company balanced,12.00,1,1.25
2016-07-01,ps_ggl_41737,B2C_BR_Brand Core_Standard,Company X  Exact,americn funds,3.00,1,0.63
2016-07-01,ps_msn_38144,B2C_BR_Brand Core_Standard,Company X  Site Exact,company x account,4.00,1,0.94
2016-07-01,ps_msn_38159,B2C_BR_Brand Core_Standard,Company X  Exact,company x portfolio series,5.00,1,0.74
2016-07-01,ps_msn_38150,B2C_BR_Brand Core_Standard,Company X  Investment Exact,company fund investment,6.00,1,1.17
2016-07-01,ps_ggl_41103,B2C_BR_Capital World Funds_Standard,Company X  Equity World Funds Exact,company x Equity world growth,2.00,1,1.34
2016-07-01,ps_msn_38376,B2C_BR_Capital World Funds_Standard,Company X  Equity World Funds Exact,capital world growth and income fund,3.00,1,3.70
2016-07-01,ps_msn_39653,B2C_BR_College 529_Standard,Company X  529 Exact,company x 529 plan,1.00,1,2.09
2016-07-01,ps_ggl_41828,B2C_BR_College 529_Standard,Company X  College 529 Exact,company x college 529,2.00,1,2.62
2016-07-01,ps_ggl_42012,B2C_BR_College 529_Standard,Company X  529 Exact,company x 529 funds,2.00,1,0.01
2016-07-01,ps_ggl_41373,B2C_BR_College 529_Standard,Company X  529 Broad Match Modify,+company +x 529 plan,3.00,1,0.76
2016-07-01,ps_msn_39629,B2C_BR_College 529_Standard,Company X  College America Exact,company x collegeamerica,4.00,1,0.25
2016-07-01,ps_ggl_41544,B2C_BR_College 529_Standard,Company X  529 Exact,company x 529 plans,4.00,1,0.92
2016-07-01,ps_msn_39631,B2C_BR_College 529_Standard,Company X  College America Broad Match Modify,+company +x college america,8.00,1,0.32
2016-07-01,ps_msn_39563,B2C_BR_College 529_Standard,College America 529 Exact,collegeamerica 529,9.00,1,0.05
