date_time,tracking_code,visits,page_view,TOOL_STARTS,TOOL_COMPLETES,LIT_DOWNLOADSS,TOOL_DOWNLOADS,VID_STARTS, Sales 
7/1/2016,Vanity20011,25857,38499,84,9,8928,1,2,126764.19
7/1/2016,ps_ggl_40686,967,6188,23,5,41,1,3,8577.59
7/1/2016,ps_msn_38158,654,4206,13,3,43,0,0,6051.71
7/1/2016,ds_9291572_2385165_126150817_302954160_0,373,494,2,0,0,0,0,565.86
7/1/2016,ps_ggl_54025,222,238,0,0,0,0,0,151.36
7/1/2016,ds_9291572_2385165_126150817_302954729_0,215,262,0,0,0,0,0,537.34
7/1/2016,ps_ggl_23025,175,1035,0,0,1,0,0,807.55
7/1/2016,ps_msn_38666,142,260,4,1,0,0,0,729.91
7/1/2016,ds_9291572_2385165_126150817_302951866_0,123,199,12,10,1,0,0,743.77
7/1/2016,ps_msn_22553,97,509,1,0,1,0,0,1879.99
7/1/2016,ps_ggl_50909,80,100,0,0,0,0,0,11.03
7/1/2016,ds_9291572_2385165_126150817_307204134_0,76,84,0,0,0,0,0,108.12
7/1/2016,ps_ggl_41146,75,412,4,1,1,0,0,700.42
7/1/2016,ps_msn_54065,73,79,0,0,0,0,0,498.27
7/1/2016,ps_ggl_41777,60,285,2,0,1,0,0,702.02
7/1/2016,ps_msn_38346,57,85,2,0,0,0,0,1181.47
7/1/2016,ps_ggl_34786,54,179,0,0,2,0,0,275.57
7/1/2016,ps_msn_39098,54,60,0,0,0,0,0,600.54
7/1/2016,ps_msn_39103,52,93,5,4,1,0,2,60.86
7/1/2016,ds_9291572_953793_126154339_299587824_67439960,52,66,0,0,0,0,0,61.30
7/1/2016,ps_ggl_40860,52,301,0,0,0,0,0,384.41
7/1/2016,ps_ggl_23038,46,283,0,0,0,0,0,563.83
7/1/2016,statement,45,504,0,0,2,0,0,563.03
7/1/2016,ps_ggl_34764,45,72,1,1,0,0,1,1193.54
7/1/2016,Vanity20026,44,463,0,0,2,0,0,817.86
7/1/2016,ps_ggl_34972,44,69,1,0,0,0,0,1198.05
7/1/2016,ps_msn_38626,42,56,2,0,0,0,0,188.18
7/1/2016,ds_9291572_702495_126155014_299587824_67439960,39,41,0,0,0,0,0,423.86
7/1/2016,ps_msn_38674,38,69,1,1,0,0,0,76.85
7/1/2016,ps_msn_50556,38,48,1,0,0,0,0,701.85
7/1/2016,ps_msn_50493,38,45,0,0,0,0,0,1211.57
7/1/2016,76665653,37,38,0,0,0,0,0,185.40
7/1/2016,ds_9291572_702495_126155450_299587824_67439960,35,37,0,0,0,0,0,99.94
7/1/2016,ps_ggl_50808,35,49,0,0,0,0,0,264.18
7/1/2016,ps_ggl_34840,34,67,0,0,0,0,0,49.51
7/1/2016,ps_ggl_41479,31,281,0,0,2,0,0,455.95
7/1/2016,sm_fb_10071,30,32,0,0,0,0,0,1201.40
7/1/2016,ds_9291572_702495_126155441_299587824_67439960,29,37,0,0,0,0,0,28.30
